created_at,username,full_text,tweet_id,query
2014-02-06 11:56:33+00:00,501Awani,Universiti Putra Malaysia memperkenalkan empat inisiatif utama sebagai langkah menangani isu kenaikan harga makanan. #AWANI745,431395989866708992,kenaikan harga lang:id
2014-02-06 08:30:07+00:00,KontanNews,Kenaikan harga minyak masih terdorong musim dingin http://t.co/DRfBy4oZHN,431344037157543938,kenaikan harga lang:id
2014-02-06 04:57:43+00:00,beritaKBR,Banjir Picu Kenaikan Harga Sayur http://t.co/Y4lES298jh,431290586663239680,kenaikan harga lang:id
2014-02-06 03:01:06+00:00,OngisnadeNet,Inilah Alasan Kenaikan Harga Tiket Ekonomi http://t.co/8d85fcg6Ux,431261237448810496,kenaikan harga lang:id
2014-02-06 02:02:32+00:00,SinarOnline,Kenaikan harga barang tak jejas syarikat insurans #SHBisnes http://t.co/GuYy4f9ZBl,431246500002533376,kenaikan harga lang:id
2014-02-05 16:21:57+00:00,suaramerdeka,Pilpres Dorong Kenaikan Harga Emas http://t.co/PJqJMyiu6E,431100391367774208,kenaikan harga lang:id
2014-02-05 07:18:34+00:00,MetroTVNewsRoom,Ternyata cuaca buruk juga berdampak terhadap kenaikan harga bahan pangan berikut ini tayangannya,430963644604502016,kenaikan harga lang:id
2014-02-04 07:42:22+00:00,bernamadotcom,Campur Tangan Drastik Perlu Untuk Tangani Kenaikan Harga? http://t.co/kZmOlqA8qj,430607248184705024,kenaikan harga lang:id
2014-02-03 13:18:02+00:00,liputan6dotcom,Negara-negara Berkembang Galau Hadapi Kenaikan Harga BBM via @Lip6Bisnis http://t.co/kUKN98lrsL,430329332334985216,kenaikan harga lang:id
2014-02-03 13:06:55+00:00,IklanBalikpapan,"Di Balikpapan, Kenaikan Harga Mobil dan Motor Ikut Beri Andil http://t.co/1f7m6eEzz9 #Balikpapan",430326533358485504,kenaikan harga lang:id
2014-02-03 12:19:27+00:00,KotaBalikpapan,"#NewsBPN Di Balikpapan, Kenaikan Harga Mobil dan Motor Ikut Beri Andil http://t.co/eXFkZTL3KP",430314590920916992,kenaikan harga lang:id
2014-02-03 10:43:01+00:00,PerekonomianRI,"Banjir dan Kenaikan Harga Elpiji Dorong Inflasi Januari Capai 1,07% http://t.co/PvLHFwZObD",430290321260310528,kenaikan harga lang:id
2014-02-03 10:40:05+00:00,liputan6dotcom,Kenaikan Harga Kangkung &amp; Bayam Dobrak Inflasi via @Lip6Bisnis http://t.co/1KPtktE8b3,430289583985549312,kenaikan harga lang:id
2014-02-03 08:55:02+00:00,merdekadotcom,Menkeu klaim pemerintah sudah berusaha tekan kenaikan harga http://t.co/crdeqDvO5Y #Ekonomi,430263145517424640,kenaikan harga lang:id
2014-02-03 08:37:06+00:00,FaisalBasri,@hbrown10 Karena inflasi tinggi 2013 akibat kenaikan harga BBM. Tahun ini rasanya hamper mustahil harga BBM bersubsidi dinaikkan.,430258634421829632,kenaikan harga lang:id
2014-02-03 08:36:12+00:00,FaisalBasri,@dinnawisnu Inflasi 2013 yang tinggi karena kenaikan harga BBM. Tahun 2014 rasanya BBM bersubsdi tak akan dinaikkan.,430258405228310529,kenaikan harga lang:id
2014-02-03 04:59:35+00:00,SafirSenduk,“Kenaikan Harga Rumah lebih cepat daripada Kenaikan Gaji.”,430203892974886912,kenaikan harga lang:id
2014-02-03 00:10:28+00:00,emtrade_id,"3). Pasar menanti data inflasi. Banjir, kenaikan harga elpiji diperkirakan akan mendorong naiknya inflasi Januari #kopipagi",430131132492156928,kenaikan harga lang:id
2014-02-03 00:04:02+00:00,anwaribrahim,"""@MohdSufriSaleh:  kenaikan harga gula. RT""@SanjeevanSS: Bukti beban rakyat bertambah dibawah Umno/BN  http://t.co/vNCM57lDaT""""",430129513494634497,kenaikan harga lang:id
2014-02-02 22:39:25+00:00,LokadataID,Lubuklingau Didera Tingginya Kenaikan Harga Sembako http://t.co/DRVmF5Yii4 via @redaksimenittv,430108221567541248,kenaikan harga lang:id
2014-02-02 13:20:07+00:00,KontanNews,Kenaikan harga pangan dan emas sumber inflasi http://t.co/IsfGt3KyQP,429967469650776068,kenaikan harga lang:id
2014-02-02 13:16:12+00:00,Bisniscom,Penaikan Tarif Parkir Kontainer Berpotensi Picu Kenaikan Harga http://t.co/D0aXnvIEAQ,429966483980955648,kenaikan harga lang:id
2014-02-01 07:44:53+00:00,Beritasatu,Harga Sepeda Motor Honda Alami Kenaikan http://t.co/UKvGJmoajg,429520718108176384,kenaikan harga lang:id
2014-02-01 00:07:00+00:00,harakahdailyHD,"Punca Kenaikan Harga Barang Dan Kos Hidup

Pasca PRU13 memperlihatkan tekanan yang dihadapi rakyat apabila... http://t.co/YhMGJdwv6O",429405484861640704,kenaikan harga lang:id
2014-01-31 15:30:33+00:00,Madrid_Indo,Kenaikan harga ini disebabkan oleh kenaikan harga bahan baku di pasaran. Kita ada dua jenis paket membership: Castilla dan Starting Line Up.,429275515485032450,kenaikan harga lang:id
2014-01-31 12:48:49+00:00,WartaKota,Harga Cabai Merah di Tahun Baru China Alami Kenaikan Signifikan: Harga kebutuhan pokok di Hari Raya Imlek 2565... http://t.co/DcE0fssJnc,429234817536778240,kenaikan harga lang:id
2014-01-30 06:44:31+00:00,MalaysiaGazette,Kenaikan harga melampau di restoran mamak http://t.co/jyOBmE0RJj @MalaysiaGazette,428780748808536064,kenaikan harga lang:id
2014-01-30 03:31:36+00:00,BOLTClub,"@Al_721 @pasfm untuk harga paket bukanlah harga promo , sehingga blm ada rencana untuk kenaikan harga tersebut",428732197768409088,kenaikan harga lang:id
2014-01-30 02:12:44+00:00,beautifulnara,Kempen Penurunan Harga 2014: Bantu Tangani Kenaikan Kos Sara Hidup http://t.co/qgFjONe2Kv via @beautifulnara,428712353140457472,kenaikan harga lang:id
2014-01-30 01:21:38+00:00,beautifulnara,Kempen Penurunan Harga 2014: Bantu Tangani Kenaikan Kos Sara Hidup http://t.co/TrXp6fD01D,428699490879410176,kenaikan harga lang:id
2014-01-29 11:07:32+00:00,infoRIAU,"Ringgit Lemah, Harga TBS Riau Alami Kenaikan http://t.co/ciCmkCxXtu (RiauTrust)",428484551497641984,kenaikan harga lang:id
